order_id,customer_name,category,sub_category,city,order_date,region,sales,discount,profit,state,,,,
OD1,Harish,Oil&Masala,Masalas,Vellore,2017-08-11,North,1254,0.12,401.28,TamilNadu,11-08-2017,,,
OD2,Sudha,Beverages,HealthDrinks,Krishnagiri,2017-08-11,South,749,0.18,149.8,TamilNadu,11-08-2017,,,
OD3,Hussain,FoodGrains,Atta&Flour,Perambalur,2017-12-06,West,2360,0.21,165.2,TamilNadu,06-12-2017,,,
OD4,Jackson,Fruits&Veggies,FreshVegetables,Dharmapuri,2016-11-10,South,896,0.25,89.6,TamilNadu,10-11-2016,,,
OD5,Ridhesh,FoodGrains,OrganicStaples,Ooty,2016-11-10,South,2355,0.26,918.45,TamilNadu,10-11-2016,,,
OD6,Adavan,FoodGrains,OrganicStaples,Dharmapuri,2015-09-06,West,2305,0.26,322.7,TamilNadu,06-09-2015,,,
OD7,Jonas,Fruits&Veggies,FreshVegetables,Trichy,2015-09-06,West,826,0.33,346.92,TamilNadu,06-09-2015,,,
OD8,Hafiz,Fruits&Veggies,FreshFruits,Ramanadhapuram,2015-09-06,West,1847,0.32,147.76,TamilNadu,06-09-2015,,,
OD9,Hafiz,Bakery,Biscuits,Tirunelveli,2015-09-06,West,791,0.23,181.93,TamilNadu,06-09-2015,,,
OD10,Krithika,Bakery,Cakes,Chennai,2015-09-06,West,1795,0.27,484.65,TamilNadu,06-09-2015,,,
OD11,Ganesh,Snacks,Chocolates,Karur,2015-09-06,West,1903,0.13,437.69,TamilNadu,06-09-2015,,,
OD12,Yadav,"Eggs,Meat&Fish",Eggs,Namakkal,2015-09-06,West,701,0.1,308.44,TamilNadu,06-09-2015,,,TRUE
OD13,Sharon,Snacks,Cookies,Dindigul,04-15-2018,South,1659,0.19,315.21,TamilNadu,04-15-2018,,,
OD14,Peer,Fruits&Veggies,FreshVegetables,Kanyakumari,2017-05-12,West,1277,0.25,63.85,TamilNadu,12-05-2017,,,
OD15,Sundar,"Eggs,Meat&Fish",Chicken,Kanyakumari,11-22-2016,Central,831,0.22,207.75,TamilNadu,11-22-2016,,,
OD16,Ramesh,Oil&Masala,EdibleOil&Ghee,Krishnagiri,11-22-2016,Central,1440,0.11,100.8,TamilNadu,11-22-2016,,,
OD17,Alan,Bakery,Cakes,Dharmapuri,2015-11-11,Central,1678,0.28,318.82,TamilNadu,11-11-2015,,,
OD18,Arutra,Beverages,HealthDrinks,Bodi,5-13-2015,West,1617,0.19,113.19,TamilNadu,5-13-2015,,,
OD19,Haseena,"Eggs,Meat&Fish",Mutton,Tenkasi,08-27-2015,West,1757,0.35,386.54,TamilNadu,08-27-2015,,,
OD20,Verma,Beverages,SoftDrinks,Kanyakumari,8-27-2015,West,692,0.29,159.16,TamilNadu,8-27-2015,,,
OD21,Hafiz,Beverages,HealthDrinks,Vellore,8-27-2015,West,522,0.19,208.8,TamilNadu,8-27-2015,,,
OD22,Alan,FoodGrains,Dals&Pulses,Karur,2017-09-12,Central,948,0.13,47.4,TamilNadu,12-09-2017,,,
OD23,Haseena,Beverages,SoftDrinks,Krishnagiri,2017-09-12,Central,707,0.34,148.47,TamilNadu,12-09-2017,,,
OD24,Alan,Fruits&Veggies,OrganicVegetables,Tenkasi,7-16-2018,East,969,0.29,77.52,TamilNadu,7-16-2018,,,
OD25,Sharon,"Eggs,Meat&Fish",Eggs,Ooty,9-25-2016,West,1100,0.11,495,TamilNadu,9-25-2016,,,
OD26,Krithika,Snacks,Chocolates,Tirunelveli,1-16-2017,West,2022,0.11,202.2,TamilNadu,1-16-2017,,,
OD27,Muneer,Snacks,Cookies,Trichy,1-16-2017,West,541,0.12,43.28,TamilNadu,1-16-2017,,,
OD28,Jackson,Bakery,Biscuits,Viluppuram,9-17-2016,East,979,0.22,401.39,TamilNadu,9-17-2016,,,
OD29,Veronica,Beverages,SoftDrinks,Krishnagiri,9-17-2016,East,1988,0.22,874.72,TamilNadu,9-17-2016,,,
OD30,Shah,Oil&Masala,Masalas,Kanyakumari,9-17-2016,East,989,0.17,69.23,TamilNadu,9-17-2016,,,
OD31,Ramesh,Beverages,SoftDrinks,Dharmapuri,9-17-2016,East,1845,0.24,166.05,TamilNadu,9-17-2016,,,
OD32,Mathew,Snacks,Noodles,Vellore,9-17-2016,East,1400,0.11,420,TamilNadu,9-17-2016,,,
OD33,Akash,Oil&Masala,EdibleOil&Ghee,Trichy,9-17-2016,East,2163,0.26,670.53,TamilNadu,9-17-2016,,,
OD34,Anu,Oil&Masala,Masalas,Madurai,9-17-2016,East,1689,0.34,337.8,TamilNadu,9-17-2016,,,
OD35,Anu,Beverages,HealthDrinks,Vellore,10-19-2018,Central,809,0.32,80.9,TamilNadu,10-19-2018,,,
OD36,Sabeela,"Eggs,Meat&Fish",Eggs,Tirunelveli,2017-08-12,Central,1265,0.22,569.25,TamilNadu,12-08-2017,,,
OD37,James,Beverages,SoftDrinks,Salem,2017-08-12,Central,934,0.35,56.04,TamilNadu,12-08-2017,,,
OD38,Willams,Fruits&Veggies,OrganicVegetables,Ramanadhapuram,12-27-2016,Central,1354,0.16,446.82,TamilNadu,12-27-2016,,,
OD39,Jonas,Fruits&Veggies,FreshFruits,Chennai,12-27-2016,Central,1751,0.19,280.16,TamilNadu,12-27-2016,,,
OD40,Sabeela,"Eggs,Meat&Fish",Chicken,Cumbum,12-27-2016,Central,2045,0.23,879.35,TamilNadu,12-27-2016,,,
OD41,Malik,Beverages,HealthDrinks,Namakkal,12-27-2016,Central,660,0.19,92.4,TamilNadu,12-27-2016,,,
OD42,Arutra,Beverages,SoftDrinks,Salem,2018-10-09,Central,1868,0.18,616.44,TamilNadu,09-10-2018,,,
OD43,Sharon,Snacks,Cookies,Bodi,7-17-2017,West,1017,0.25,345.78,TamilNadu,7-17-2017,,,
OD44,Mathew,Snacks,Cookies,Dharmapuri,9-19-2018,South,2311,0.2,1039.95,TamilNadu,9-19-2018,,,
OD45,Amrish,Bakery,Biscuits,Krishnagiri,2017-11-03,Central,1663,0.17,731.72,TamilNadu,03-11-2017,,,
OD46,Vince,"Eggs,Meat&Fish",Eggs,Madurai,2017-11-03,Central,1420,0.19,355,TamilNadu,03-11-2017,,,
OD47,Suresh,Fruits&Veggies,OrganicVegetables,Nagercoil,10-20-2015,Central,1415,0.31,509.4,TamilNadu,10-20-2015,,,
OD48,Mathew,Snacks,Noodles,Chennai,6-20-2017,East,1488,0.3,610.08,TamilNadu,6-20-2017,,,
OD49,Ridhesh,Snacks,Noodles,Pudukottai,6-20-2017,East,726,0.18,43.56,TamilNadu,6-20-2017,,,
OD50,Amrish,Bakery,Cakes,Ooty,4-18-2016,Central,1259,0.15,415.47,TamilNadu,4-18-2016,,,
OD51,Esther,Beverages,SoftDrinks,Salem,4-18-2016,Central,902,0.29,153.34,TamilNadu,4-18-2016,,,
OD52,Shah,Beverages,SoftDrinks,Salem,4-18-2016,Central,2306,0.3,553.44,TamilNadu,4-18-2016,,,
OD53,Sudha,Bakery,Cakes,Theni,4-18-2016,Central,1417,0.19,99.19,TamilNadu,4-18-2016,,,
OD54,Yusuf,Fruits&Veggies,FreshVegetables,Madurai,2017-11-12,East,627,0.33,181.83,TamilNadu,12-11-2017,,,
OD55,Esther,Fruits&Veggies,OrganicFruits,Nagercoil,2017-11-12,East,760,0.28,60.8,TamilNadu,12-11-2017,,,
OD56,Muneer,FoodGrains,Atta&Flour,Salem,6-17-2017,East,2350,0.15,611,TamilNadu,6-17-2017,,,
OD57,Komal,"Eggs,Meat&Fish",Fish,Krishnagiri,6-17-2017,East,1179,0.34,271.17,TamilNadu,6-17-2017,,,
OD58,Veena,FoodGrains,Dals&Pulses,Trichy,6-17-2017,East,1624,0.35,194.88,TamilNadu,6-17-2017,,,
OD59,Sharon,"Eggs,Meat&Fish",Mutton,Trichy,6-17-2017,East,1316,0.35,421.12,TamilNadu,6-17-2017,,,
OD60,Shree,Beverages,HealthDrinks,Coimbatore,6-17-2017,East,2121,0.12,678.72,TamilNadu,6-17-2017,,,
OD61,Roshan,Oil&Masala,Masalas,Virudhunagar,6-17-2017,East,1428,0.28,271.32,TamilNadu,6-17-2017,,,
OD62,Willams,Snacks,Noodles,Perambalur,6-17-2017,East,706,0.33,289.46,TamilNadu,6-17-2017,,,
OD63,Sudeep,"Eggs,Meat&Fish",Fish,Dharmapuri,11-24-2016,West,921,0.25,184.2,TamilNadu,11-24-2016,,,
OD64,Yusuf,Fruits&Veggies,FreshFruits,Trichy,11-24-2016,West,1741,0.31,661.58,TamilNadu,11-24-2016,,,
OD65,Willams,"Eggs,Meat&Fish",Eggs,Madurai,11-24-2016,West,607,0.22,200.31,TamilNadu,11-24-2016,,,
OD66,Muneer,"Eggs,Meat&Fish",Mutton,Tirunelveli,11-24-2016,West,1824,0.25,766.08,TamilNadu,11-24-2016,,,
OD67,Vinne,FoodGrains,Atta&Flour,Madurai,4-30-2016,Central,1368,0.11,383.04,TamilNadu,4-30-2016,,,
OD68,Roshan,Fruits&Veggies,FreshVegetables,Pudukottai,2015-05-12,West,1160,0.16,510.4,TamilNadu,12-05-2015,,,
OD69,Ramesh,FoodGrains,Atta&Flour,Viluppuram,2015-05-12,West,1294,0.23,77.64,TamilNadu,12-05-2015,,,
OD70,Peer,Oil&Masala,Masalas,Ooty,2017-04-06,South,1232,0.14,554.4,TamilNadu,06-04-2017,,,
